player_name,year,hand,rel_height,rel_side,extension,total_pitches,haa_2-Seam/Sinker,haa_4-Seam,haa_Changeup,haa_Curveball,haa_Cutter,haa_Knuckleball,haa_Slider,haa_Splitter,haa_Sweeper,hb_2-Seam/Sinker,hb_4-Seam,hb_Changeup,hb_Curveball,hb_Cutter,hb_Knuckleball,hb_Slider,hb_Splitter,hb_Sweeper,ivb_2-Seam/Sinker,ivb_4-Seam,ivb_Changeup,ivb_Curveball,ivb_Cutter,ivb_Knuckleball,ivb_Slider,ivb_Splitter,ivb_Sweeper,n_2-Seam/Sinker,n_4-Seam,n_Changeup,n_Curveball,n_Cutter,n_Knuckleball,n_Slider,n_Splitter,n_Sweeper,pct_2-Seam/Sinker,pct_4-Seam,pct_Changeup,pct_Curveball,pct_Cutter,pct_Knuckleball,pct_Slider,pct_Splitter,pct_Sweeper,vaa_2-Seam/Sinker,vaa_4-Seam,vaa_Changeup,vaa_Curveball,vaa_Cutter,vaa_Knuckleball,vaa_Slider,vaa_Splitter,vaa_Sweeper,velo_2-Seam/Sinker,velo_4-Seam,velo_Changeup,velo_Curveball,velo_Cutter,velo_Knuckleball,velo_Slider,velo_Splitter,velo_Sweeper
"Bedrosian, Cam",2017,R,6.137,-1.895,6.136,764,,-1.536,,,,,-3.028,,,,-4.005,,,,,4.898,,,,18.519,,,,,-5.67,,,,441.0,,,,,322.0,,,,0.578,,,,,0.422,,,,5.133,,,,,9.199,,,,93.873,,,,,84.344,,
"Belisle, Matt",2017,R,6.201,-2.694,6.881,945,-1.498,-2.393,,-4.188,,,-3.863,,,-12.528,-6.977,,12.81,,,2.562,,,11.805,18.025,,-5.64,,,10.04,,,88.0,434.0,,108.0,,,310.0,,,0.093,0.459,,0.114,,,0.328,,,5.937,5.337,,10.22,,,7.309,,,90.293,90.609,,73.648,,,85.754,,
"Beliveau, Jeff",2017,L,4.834,2.816,6.162,296,,1.801,,4.68,,,,,,,-8.881,,16.155,,,,,,,14.73,,-10.517,,,,,,,195.0,,53.0,,,,,,,0.659,,0.179,,,,,,,4.253,,9.052,,,,,,,90.104,,74.845,,,,,
"Bell, Chad",2017,L,6.026,1.505,6.327,1187,0.313,1.576,-0.187,,2.366,,2.044,,,-12.332,-2.077,-13.412,,0.948,,4.947,,,15.652,16.266,7.263,,4.786,,0.41,,,614.0,80.0,124.0,,224.0,,145.0,,,0.517,0.067,0.104,,0.189,,0.122,,,5.442,5.194,6.921,,7.574,,8.279,,,92.871,92.899,86.394,,85.497,,80.619,,
"Benoit, Joaquín",2017,R,6.143,-2.905,6.001,861,-1.724,-2.002,-1.401,,,,-4.111,,,-14.409,-9.69,-13.586,,,,0.612,,,13.908,18.046,7.774,,,,7.041,,,89.0,423.0,240.0,,,,108.0,,,0.103,0.491,0.279,,,,0.125,,,5.197,4.685,7.796,,,,7.39,,,94.719,94.76,84.475,,,,87.428,,
"Bergman, Christian",2017,R,5.525,-2.307,5.351,799,-0.781,,-0.123,-3.293,,,-2.563,,,-14.632,,-17.923,7.294,,,-0.287,,,14.298,,8.027,-4.969,,,13.148,,,388.0,,90.0,97.0,,,224.0,,,0.486,,0.113,0.121,,,0.28,,,5.345,,7.558,9.044,,,5.691,,,88.508,,80.467,77.28,,,85.365,,
"Berríos, José",2017,R,5.513,-3.142,6.322,2447,-1.336,-2.537,-1.511,,,,,,,-16.411,-8.715,-15.001,,,,,,,12.372,18.72,8.122,,,,,,,739.0,759.0,210.0,,,,,,,0.433,0.444,0.123,,,,,,,5.309,4.414,6.846,,,,,,,93.256,93.929,83.626,,,,,,
"Betances, Dellin",2017,R,6.3,-1.2,6.168,1179,,-0.767,,-2.961,,,,,,,-5.427,,11.646,,,,,,,17.722,,-2.471,,,,,,,542.0,,450.0,,,,,,,0.546,,0.454,,,,,,,4.894,,8.196,,,,,,,98.234,,83.655,,,,,
"Bethancourt, Christian",2017,R,5.401,-1.936,6.274,105,,-0.348,,,,,,,,,-13.204,,,,,,,,,13.413,,,,,,,,,92.0,,,,,,,,,0.876,,,,,,,,,4.501,,,,,,,,,94.093,,,,,,,
"Bettis, Chad",2017,R,6.062,-1.745,5.797,736,-0.67,-1.959,-1.186,-3.098,,,,,,-9.365,0.557,-7.96,10.156,,,,,,12.459,14.091,6.696,-2.94,,,,,,93.0,296.0,187.0,114.0,,,,,,0.126,0.402,0.254,0.155,,,,,,6.167,5.872,7.692,9.862,,,,,,90.124,90.054,85.039,74.664,,,,,
